Time,Win,Score,Lost,Home,Opponent,Win(OP),Los(OP),PCT,Player,TIME,FGA,REB,AST,STL,BLK,TO,PF,EFF,PTS
2/6/2012,1,99,88,1,Utah,15,16,0.483870968,Walker,30,10,5,0,0,0,0,5,-1,11
2/8/2012,1,107,93,0,Washington,9,32,0.219512195,Walker,27,10,6,1,0,0,0,1,7,5
2/10/2012,1,92,85,1,LAL,19,22,0.463414634,Walker,31,11,3,2,1,0,2,3,15,7
2/11/2012,1,100,98,0,Minnestoa,20,25,0.444444444,Walker,24,5,2,2,1,0,1,1,-4,3
2/14/2012,1,90,87,0,Toronto,13,30,0.302325581,Walker,30,8,3,1,1,0,2,4,-1,8
2/15/2012,1,100,85,1,Sacramento,13,33,0.282608696,Walker,20,9,3,2,0,1,0,1,22,14
2/17/2012,0,85,89,1,New Orleans,11,32,0.255813953,Walker,26,5,6,1,0,1,3,2,-4,2
2/19/2012,1,104,97,1,Dallas,28,19,0.595744681,Smith,30,16,3,2,1,0,0,4,21,15
2/20/2012,0,92,100,1,New Jersey,17,36,0.320754717,Anthony,37,11,3,6,1,0,6,3,-10,11
2/22/2012,1,99,82,1,Atlanta,29,23,0.557692308,Anthony,27,16,4,3,2,1,2,1,7,15
2/23/2012,0,88,102,0,Miami,42,9,0.823529412,Anthony,35,20,7,1,0,1,1,4,-15,19
2/29/2012,1,120,103,1,Cleveland,18,30,0.375,Anthony,34,16,5,4,0,0,0,3,12,22
3/4/2012,0,111,115,0,Boston,33,25,0.568965517,Anthony,35,21,7,2,0,0,3,4,-8,25
3/6/2012,0,85,95,0,Dallas,38,24,0.612903226,Anthony,31,12,8,1,0,0,2,1,-18,6
3/7/2012,0,105,118,0,San Antonio,41,15,0.732142857,Anthony,38,24,2,3,2,0,2,5,-11,27
3/9/2012,0,114,119,0,Milwaukee,26,33,0.440677966,Anthony,37,17,5,2,1,2,2,1,-5,22
3/11/2012,0,94,106,1,Philadelphia,42,31,0.575342466,Anthony,34,15,5,2,0,0,2,4,1,10
3/12/2012,0,99,104,0,Chicago,36,12,0.75,Anthony,39,21,8,3,2,1,2,4,-3,21
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
